,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density
102,WEMAKEPRICE,0.0023752969121140144,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.0023752969121140144,8,69,1.0,0.0,0.001184834123222749,0.0
103,Faire,0.09026128266033255,0.0009352058321349123,1.6491542916642536e-17,0.16476244819243,0.00552703383694021,0.08076009501187649,0.009501187648456057,2,5,1.0,0.0,0.045023696682464455,0.0
104,Compass,0.028503562945368172,0.00036006134178003874,1.1789786852102452e-46,0.017499636434146103,0.0010173459235742152,0.009501187648456057,0.019002375296912115,7,176,1.0,0.0,0.014218009478672985,0.0
105,Away,0.019002375296912115,0.0005196971900399114,1.0260331676428404e-35,0.04223393777880772,0.00171938918974968,0.011876484560570073,0.007125890736342043,3,10,1.0,0.0,0.009478672985781991,0.0
106,Monzo,0.009501187648456057,0.00035252422425819096,5.861526769381095e-45,0.016980163060923155,0.0014947070196824224,0.004750593824228029,0.004750593824228029,5,31,1.0,0.0,0.004739336492890996,0.0
107,Chime,0.007125890736342043,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.007125890736342043,5,31,1.0,0.0,0.0035545023696682463,0.0
108,Patreon,0.040380047505938245,0.00035587282490913294,2.3643804993843173e-06,0.20840265518211173,0.00534354183268739,0.03800475059382423,0.0023752969121140144,1,1,1.0,0.0,0.02014218009478673,0.0
109,Affirm,0.07838479809976247,0.0029743488392114112,1.985920970676083e-37,0.06501760995986566,0.001546862447545139,0.035629453681710214,0.04275534441805226,5,165,1.0,0.0,0.03909952606635071,0.0
110,GitLab,0.07600950118764846,0.0037614342292828897,2.3561330425384852e-26,0.10082648343661253,0.0019218209244222981,0.04275534441805226,0.0332541567695962,10,120,1.0,0.0,0.037914691943127965,0.0
111,Stripe,0.045130641330166275,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.045130641330166275,6,288,1.0,0.0,0.022511848341232227,0.0
112,Airbnb,0.052256532066508314,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.052256532066508314,7,306,1.0,0.0,0.026066350710900472,0.0
113,Katerra,0.0332541567695962,5.938242280285035e-05,5.980452105421332e-45,0.017864212193190815,0.0010345747568762057,0.011876484560570073,0.02137767220902613,6,186,1.0,0.0,0.016587677725118485,0.0
114,Loft,0.0498812351543943,8.48320325755005e-05,1.3111341482254877e-16,0.168208050721169,0.002872816714150502,0.03800475059382423,0.011876484560570073,4,15,1.0,0.0,0.024881516587677725,0.0
115,OfferUp,0.07600950118764846,0.0036771825351312967,2.9902410207970916e-45,0.023806953141870008,0.0012384627271231083,0.019002375296912115,0.057007125890736345,5,198,1.0,0.0,0.037914691943127965,0.0
