,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
LGT Capital Partners,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Lindeman Asia Investment,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
BGF Ventures,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
GIC,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
ZhenFund,0.008645533141210374,0.0016781780938087095,0.043497500949023195,0.22365866193316858,0.0018183576400399063
01 Advisors,0.002881844380403458,0.0,0.0033609522427721483,0.1649332053663357,0.0008809546702526913
Benchmark,0.01296829971181556,0.005185904378109258,0.1198440027462074,0.24432924305598136,0.0023531033527708647
Morningside Venture Capital,0.011527377521613832,0.002413885119412478,0.052941619442514694,0.21912413927024207,0.0023052902780371317
Index Ventures,0.030259365994236308,0.02488258213661726,0.19091034771259713,0.25501122939361276,0.005518341598268719
Invesco Perpetual,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Morningside Group,0.001440922190201729,0.0,0.003187959789873094,0.16810209586285269,0.0005086727357820301
Telling Telecommunication Holding Co.,0.001440922190201729,0.0,0.005079929264137305,0.17829751652411255,0.0005025532444960459
Tiantu Capital,0.002881844380403458,0.0,0.0010396772470690073,0.1512227084593399,0.0008341841092763351
Aspect Ventures,0.002881844380403458,0.0,0.017774765536639925,0.19119208197512796,0.0007879216762798816
Viola Ventures,0.007204610951008645,0.0003543036042568406,0.022004856941093994,0.2095046645132246,0.001539693331030575
Blue Lake Capital,0.002881844380403458,0.0,0.01642913124310462,0.1940185752672629,0.0007107936127293711
Matrix Partners,0.017291066282420747,0.008904653133202706,0.10309988258714292,0.243681154878114,0.0034367466737408574
Mayfield Fund,0.008645533141210374,0.00213378293285793,0.012411494044058885,0.19000578156990486,0.0019580432828622085
Freigeist Capital,0.002881844380403458,0.0,0.007350077019327505,0.17675381508234533,0.0007645469292652577
Matrix Partners China,0.01296829971181556,0.00685479576856261,0.04410820040751116,0.22150161636901503,0.002901819205172409
Coty,0.0,0.0,1.8880471991258762e-27,0.0,0.0002212389380530974
Alibaba Pictures Group,0.0,0.0,1.8880471991258762e-27,0.0,0.0002212389380530974
Walden Venture Capital,0.002881844380403458,0.0,0.011815528322667744,0.1889311987435455,0.0008487669406524788
TSG Consumer Partners,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Lerer Hippeau Ventures,0.002881844380403458,0.0,0.018548588802714164,0.19619390366054243,0.000709537707026436
BOC International,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
CPP Investment Board,0.0,0.0,1.8880471991258762e-27,0.0,0.0002212389380530974
Greylock Partners,0.03314121037463977,0.030318775001407262,0.1957543525039123,0.25896489186483157,0.0062846663794957494
Benchmark Capital,0.002881844380403458,0.0,0.0039392188186210845,0.1616679197343581,0.0008562486185718342
Next World Capital,0.002881844380403458,0.0,0.006005928831866845,0.17717993324792478,0.000761128331185098
Structure Capital,0.002881844380403458,0.0,0.02036671460629149,0.19381391432288816,0.0007153295252954003
Benhcmark,0.002881844380403458,0.0,0.01356380774996161,0.18512402093511135,0.0008451735503492883
Costanoa Ventures,0.002881844380403458,0.0,0.004682961757657975,0.16741283897776582,0.0008623616119100589
Advent International,0.005763688760806916,0.0030031851553588697,0.017746117908583846,0.1915908141586006,0.0014447870000061037
Bitmain Technologies_,0.002881844380403458,0.0,0.009436584177127354,0.1821870012673257,0.0008399063835351191
Co-Energy Finance,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Zeev Ventures,0.008645533141210374,0.005544348331056463,0.03701443195276368,0.21302677191663535,0.002013831172095056
QiMing Venture Partnersl,0.001440922190201729,0.0,0.0074625145416770495,0.1832773972848858,0.00047447624185601085
Pear,0.002881844380403458,0.0,0.0185006498711503,0.1966137943050808,0.0008316404611856279
Accel India,0.002881844380403458,0.0,0.002927480174623831,0.16833311111140448,0.0008534553935385385
Sutter Hill Ventures,0.002881844380403458,0.0,0.02131577762727988,0.1983114849196956,0.0007072114000519498
Gopher Asset Management,0.002881844380403458,0.0,0.017465029421346742,0.1964036245623709,0.0008252673990211728
FAW Group,0.002881844380403458,0.0,0.011815528322667742,0.1889311987435455,0.0008487669406524788
K1 Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
True Ventures,0.005763688760806916,0.0008030893467333324,0.02744696847320707,0.20124380150941729,0.001211917348538432
Storm Ventures,0.002881844380403458,0.0,0.00019641242241772632,0.12875654574498807,0.001055691526560322
Comcast Ventures,0.011527377521613832,0.005558448829099923,0.0690255581228037,0.22110179395679663,0.002286174687929082
Global Founders Capital,0.008645533141210374,0.00513854620609759,0.012014318073069609,0.1759076982078487,0.0021309254371911232
