,source,target
965,Meritech Capital Partners,Tiger Global Management
966,Meritech Capital Partners,Accel
967,ConsenSys Ventures,PUC
968,ConsenSys Ventures,Valar Ventures
969,Mithril Capital Management,RRE Ventures
970,Mithril Capital Management,Liberty City Ventures
971,Mithril Capital Management,Union Square Ventures
972,Green Pine Capital Partners,DCM Ventures
973,Green Pine Capital Partners,IDG Capital
974,Green Pine Capital Partners,Ivy Capital
975,Green Pine Capital Partners,V FUND
976,Green Pine Capital Partners,SAIF Partners China
977,Bond Capital,Insight Partners
978,Bond Capital,Accel
979,Warburg Pincus,Morningside Ventures
980,Warburg Pincus,IDG Capital
981,Warburg Pincus,Sequoia Capital China
982,Warburg Pincus,Sands Capital
983,Warburg Pincus,Volcanics Ventures
984,Warburg Pincus,The Rise Fund
985,Warburg Pincus,Vertex Ventures China
986,Warburg Pincus,Vista Equity Partners
987,Warburg Pincus,Ayala Corporation
988,Warburg Pincus,General Catalyst
989,Warburg Pincus,Aviation Industry Corporation of China
990,Warburg Pincus,CreditEase Fintech Investment Fund
991,Warburg Pincus,SAIF Partners India
992,Warburg Pincus,HarbourVest Partners
993,Warburg Pincus,Insight Partners
994,Warburg Pincus,Summit Partners
995,Kleiner Perkins Caufield & Byers,Madrona Venture Group
996,Kleiner Perkins Caufield & Byers,Qiming Venture Partners
997,Kleiner Perkins Caufield & Byers,Pine Brook
998,Kleiner Perkins Caufield & Byers,Sapphire Ventures
999,Kleiner Perkins Caufield & Byers,Insight Partners
1000,Kleiner Perkins Caufield & Byers,Qualcomm Ventures
1001,Kleiner Perkins Caufield & Byers,OrbiMed Advisors
1002,Kleiner Perkins Caufield & Byers,General Catalyst
1003,Kleiner Perkins Caufield & Byers,Khosla Ventures
1004,Kleiner Perkins Caufield & Byers,Andreessen Horowitz
1005,Kleiner Perkins Caufield & Byers,Greylock Partners
1006,Kleiner Perkins Caufield & Byers,Origin Ventures
1007,Kleiner Perkins Caufield & Byers,Bessemer Venture Partners
1008,Kleiner Perkins Caufield & Byers,Sina Weibo
1009,Kleiner Perkins Caufield & Byers,Sequoia Capital
1010,Kleiner Perkins Caufield & Byers,Venrock
1011,Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners
1012,Kleiner Perkins Caufield & Byers,Sequoia Capital China
1013,Kleiner Perkins Caufield & Byers,Google Ventures
1014,Kleiner Perkins Caufield & Byers,Afore Capital
1015,Kleiner Perkins Caufield & Byers,American Express Ventures
1016,Kleiner Perkins Caufield & Byers,Stripes Group
1017,Kleiner Perkins Caufield & Byers,Collaborative Fund
1018,Kleiner Perkins Caufield & Byers,Softbank Corp.
1019,Kleiner Perkins Caufield & Byers,EQT Ventures
1020,Kleiner Perkins Caufield & Byers,General Catalyst Partners
1021,Blackstone,Brookfield Asset Management
1022,Blackstone,Data Collective
1023,Blackstone,ICONIQ Growth
1024,Blackstone,EQT Partners
1025,Blackstone,BlackRock
1026,Blackstone,Insight Partners
1027,Blackstone,General Atlantic
1028,Blackstone,AWZ Ventures
1029,Lightspeed Venture Partners,Almaz Capital Partners
1030,Lightspeed Venture Partners,Pantera Capital
1031,Lightspeed Venture Partners,Innovation Endeavors
1032,Lightspeed Venture Partners,Lakestar
1033,Lightspeed Venture Partners,Aspect Ventures
1034,Lightspeed Venture Partners,Sapphire Ventures
1035,Lightspeed Venture Partners,Accel
1036,Lightspeed Venture Partners,Polychain Capital
1037,Lightspeed Venture Partners,Insight Partners
1038,Lightspeed Venture Partners,IDG Capital
1039,Lightspeed Venture Partners,Venture51
1040,Lightspeed Venture Partners,Khosla Ventures
1041,Lightspeed Venture Partners,Dell Technologies Capital
1042,Lightspeed Venture Partners,TLV Partners
1043,Lightspeed Venture Partners,Andreessen Horowitz
1044,Lightspeed Venture Partners,India Quotient
1045,Lightspeed Venture Partners,Greylock Partners
1046,Lightspeed Venture Partners,Zeev Ventures
1047,Lightspeed Venture Partners,Norwest Venture Partners
1048,Lightspeed Venture Partners,Data Collective
1049,Lightspeed Venture Partners,Origin Ventures
1050,Lightspeed Venture Partners,Elevation Capital
1051,Lightspeed Venture Partners,M13
1052,Lightspeed Venture Partners,M12
1053,Lightspeed Venture Partners,Munich Re Ventures
1054,Lightspeed Venture Partners,Geodesic Capital
1055,Lightspeed Venture Partners,DST Global
1056,Lightspeed Venture Partners,Threshold Ventures
1057,Lightspeed Venture Partners,s28 Capital
1058,Lightspeed Venture Partners,Google Ventures
1059,Lightspeed Venture Partners,Viking Global Investors
1060,Lightspeed Venture Partners,Verizon Ventures
1061,Lightspeed Venture Partners,Crosslink Capital
1062,Lightspeed Venture Partners,GGV Capital
1063,Lightspeed Venture Partners,CyberStarts
1064,Lightspeed Venture Partners,Microsoft ScaleUp
1065,Lightspeed Venture Partners,Wipro Ventures
1066,Lightspeed Venture Partners,Social Capital
1067,Lightspeed Venture Partners,8VC
1068,Lightspeed Venture Partners,General Atlantic
1069,XVC Venture Capital,Source Code Capital
1070,XVC Venture Capital,iFly
1071,Baseline Ventures,Threshold Ventures
1072,Baseline Ventures,Harrison Metal
1073,Legend Star,TAL Education Group
1074,Legend Star,Alibaba Group
1075,Work-Bench,RRE Ventures
1076,Creandum,Founders Fund. Accel
1077,Creandum,Accel
1078,Creandum,Kinnevik
1079,Creandum,One Peak Partners
1080,Mitsubishi Corporation,Mayfair Equity Partners
1081,GGV Capital,Greycroft
1082,GGV Capital,Linear Venture
1083,GGV Capital,IDG Capital
1084,GGV Capital,ZhenFund
1085,GGV Capital,QiMing Venture Partnersl
1086,GGV Capital,Tiger Global Management
1087,GGV Capital,Bertelsmann Asia Investments
1088,GGV Capital,BlackRock
1089,GGV Capital,Teamworthy Ventures
1090,GGV Capital,ACE & Company
1091,GGV Capital,Flybridge Capital Partners
1092,GGV Capital,Sequoia Capital China
1093,GGV Capital,Koch Disruptive Technologies
1094,GGV Capital,Cowboy Ventures
1095,GGV Capital,Ant Financial Services Group
1096,GGV Capital,GSR Ventures
1097,GE Healthcare,Koch Disruptive Technologies
1098,Sierra Ventures,Asset Management Ventures
1099,Sierra Ventures,Sigma Prime Ventures
1100,Sierra Ventures,Battery Ventures
1101,Sierra Ventures,Xingwang Investment Management
1102,Sierra Ventures,China Creation Ventures
1103,Sierra Ventures,AXA Venture Partners
1104,Green Visor Capital,Greycroft
1105,Greyhound Capital,Socii Capital
1106,L'Occitane,Bessemer Venture Partners
1107,L'Occitane,Trifecta Capital
1108,Alkeon Capital Management,Technology Crossover Ventures
1109,Alkeon Capital Management,General Atlantic
1110,Outrun Ventures,Passion Capital
1111,Tencent Holdings,Qiming Venture Partners
1112,Tencent Holdings,Goldman Sachs
1113,Tencent Holdings,Smash Ventures
1114,Tencent Holdings,CMC Capital Partners
1115,Tencent Holdings,Russia-China Investment Fund
1116,Tencent Holdings,DCM Ventures
1117,Tencent Holdings,IDG Capital
1118,Tencent Holdings,CJ ENM
1119,Tencent Holdings,Redpoint Ventures China
1120,Tencent Holdings,XAnge Private Equity
1121,Tencent Holdings,Benchmark
1122,Tencent Holdings,Delta Capital
1123,Tencent Holdings,Tus Holdings
1124,Tencent Holdings,RedBird Capital Partners
1125,Tencent Holdings,Meituan Dianping
1126,Tencent Holdings,Baidu
1127,Tencent Holdings,NewAlpha
1128,Tencent Holdings,Greylock Partners
1129,Tencent Holdings,Sequoia Capital India
1130,Tencent Holdings,Alven Capital
1131,Tencent Holdings,Tiger Global Management
1132,Tencent Holdings,Walden Venture Capital
1133,Tencent Holdings,Lightspeed India Partners
1134,Tencent Holdings,Source Code Capital
1135,Tencent Holdings,KKR
1136,Tencent Holdings,DST Global
1137,Tencent Holdings,Sinovation Ventures
1138,Tencent Holdings,Sequoia Capital China
1139,Tencent Holdings,58.com
1140,Tencent Holdings,Warbug Pincus
1141,Tencent Holdings,5Y Capital
1142,Tencent Holdings,Global Founders Capital
1143,Tencent Holdings,Global Catalyst Partnera
1144,Tencent Holdings,Kaalari Capital
1145,Tencent Holdings,Valar Ventures
1146,Blume Ventures,Das Capital
1147,Blume Ventures,Sequoia Capital India
1148,Blume Ventures,Nexus Venture Partners
1149,K2VC,Global Logistic Properties
1150,K2VC,Sky9 Capital
1151,K2VC,Matrix Partners China
1152,K2VC,5Y Capital
1153,K2VC,Source Code Capital
1154,Acero Capital,General Catalyst
1155,Acero Capital,M12
1156,Jiangsu Sha Steel Group,Shanghai Puyin Industry
1157,Jiangsu Sha Steel Group,Aviation Industry Corporation of China
1158,Jiangsu Sha Steel Group,Funa Yuanchuang Technology
1159,Jiangsu Sha Steel Group,Essence Financial
1160,RPM Ventures,Carrick Capital Partners
1161,RPM Ventures,Inspiration Ventures
1162,Flagship Pioneering,Alexandria Venture Investments
1163,Sino-Ocean Capital,New Hope Fund
1164,Scentan Ventures,Kite Ventures
1165,Scentan Ventures,Notion Capital
1166,SF Holding Co,STO Express
1167,SF Holding Co,Eastern Bell Capital
1168,SoGal Ventures,Next Coast Ventures
1169,Playground Global,Tribe Capital
1170,Playground Global,M12
1171,Playground Global,Amiti Ventures
1172,Playground Global,BlackRock
1173,Playground Global,Aleph
1174,Contour Venture Partners,Battery Ventures
1175,Hongxiu VC,TopoScend Capital
1176,Hongxiu VC,BOC International
1177,Newsion Venture Capital,SAIF Partners China
1178,Newsion Venture Capital,Tiantu Capital
1179,Viola Ventures,Goldman Sachs
1180,Viola Ventures,Bain Capital Ventures
1181,Viola Ventures,ClalTech
1182,Viola Ventures,Insight Partners
1183,Viola Ventures,Dell Technologies Capital
1184,Uncork Capital,Threshold Ventures
1185,Uncork Capital,Andreessen Horowitz
1186,Uncork Capital,Version One Ventures
1187,Uncork Capital,Bessemer Venture Partners
1188,Uncork Capital,Bloomberg Beta
1189,Uncork Capital,Wing Venture Capital
1190,Qatar Holding,Summit Partners
1191,Baillie Gifford & Co.,Google Ventures
1192,Baillie Gifford & Co.,Alaska Permanent Fund
1193,Baillie Gifford & Co.,Prysm Capital
1194,Baillie Gifford & Co.,Activant Capital Group
1195,Baillie Gifford & Co.,Sequoia Capital
1196,Baillie Gifford & Co.,TDM Growth Partners
1197,NIO Capital,Blueflame Capital
1198,NIO Capital,Sequoia Capital China
1199,NIO Capital,JOY Capital
1200,NIO Capital,Bertelsmann Asia Investments
1201,Makers Fund,Inova Ventures Participacees
1202,Square Peg Capital,Tiger Global Management
1203,Square Peg Capital,TDM Growth Partners
1204,Chromo Invest,BlackRock
1205,CMB International Capital,Tiantu Capital
1206,Future Ventures,General Catalyst
1207,Future Ventures,AU21
1208,Caisse de depot et placement du Quebec,WestCap Group
1209,First Light Capital Group,Franklin Templeton
1210,First Light Capital Group,L Catterton
1211,Transamerica Ventures,Crane Venture Partners
1212,Transamerica Ventures,Nexus Venture Partners
1213,Maniv Mobility,Glory Ventures
1214,Didi Chuxing,Diamler
1215,Promus Ventures,NextView Ventures
1216,Digital Currency Group_,Draper Esprit
1217,Digital Currency Group_,General Catalyst
1218,Digital Currency Group_,Korelya Capital
1219,Digital Currency Group_,Accel
1220,CE-Ventures,BECO Capital
1221,Qianhai Fund of Funds,Sequoia Capital China
1222,Qianhai Fund of Funds,InnoVision Capital
1223,Crowdcube,TSG Consumer Partners
1224,Susquehanna Growth Equity,Silversmith Capital Partners
1225,Susquehanna Growth Equity,Lupa Systems
1226,Susquehanna Growth Equity,Advance Venture Partners
1227,Susquehanna Growth Equity,Tiger Global Management
1228,Vickers Venture Partners,IKEA GreenTech
1229,Greylock Partners,Aspect Ventures
1230,Greylock Partners,Accel
1231,Greylock Partners,Gaorong Capital
1232,Greylock Partners,Lux Capital
1233,Greylock Partners,New Enterprise Associates
1234,Greylock Partners,General Catalyst
1235,Greylock Partners,Benchmark
1236,Greylock Partners,Khosla Ventures
1237,Greylock Partners,Andreessen Horowitz
1238,Greylock Partners,Venrock
1239,Greylock Partners,BlackRock
1240,Greylock Partners,Accel Partners
1241,Greylock Partners,SingTel Innov8
1242,Greylock Partners,Google Ventures
1243,Greylock Partners,SoftBank Group
1244,Greylock Partners,General Atlantic
1245,Georgian Co-Investment Fund,iTech Capital
1246,QF Capital,Unicom Innovation Venture Capital
1247,QF Capital,QC Capital
1248,SignalFire,GLP Capital Partners
1249,SignalFire,Google Ventures
1250,SignalFire,Softbank Group
1251,SignalFire,General Catalyst
1252,SignalFire,AME Cloud Ventures
1253,BNP Paribas,Goldman Sachs
1254,BNP Paribas,Google
1255,NextView Ventures,Eniac Ventures
1256,NextView Ventures,MHS Capital
1257,NextView Ventures,Sequoia Capital
1258,Trustbridge Partners,IDG Capital
1259,Trustbridge Partners,Sequoia Capital China
1260,Trustbridge Partners,Hony Capital
1261,Vertex Ventures China,Volcanics Ventures
1262,Merieux Equity Partners,Vitruvian Partners
1263,Merieux Equity Partners,Straumann
1264,Co-Stone Venture Capital,Buhuo Venture Capital
1265,Co-Stone Venture Capital,Alibaba Group
1266,SEEK,M12
1267,Point72 Ventures,Andreessen Horowitz
1268,Point72 Ventures,Pelion Venture Partners
1269,Point72 Ventures,Accel
1270,Point72 Ventures,Commerce Ventures
1271,Point72 Ventures,Homebrew
1272,frst,Accel
1273,frst,Kima Ventures
1274,Alta Partners,Echo Health Venturesl
1275,Alta Partners,General Catalyst
1276,Alta Partners,Questa Capital
1277,Alta Partners,Jove Equity Partners
1278,FTV Capital,Endeavor
1279,FTV Capital,KKR
1280,Intel Capital,Andreessen Horowitz
1281,Intel Capital,Google Ventures
1282,Intel Capital,Zhangjiang Haocheng Venture Capital
1283,Intel Capital,Aviv Venture Capital
1284,iFLYTEK,IDG Capital
1285,Vertex Ventures,Oryzn Capital
1286,Vertex Ventures,Insight Partners
1287,Vertex Ventures,ClalTech
1288,Vertex Ventures,Salesforce Ventures
1289,LocalGlobe,Kinnevik
1290,LocalGlobe,Target Global
1291,McKesson Ventures,B Capital Group
1292,McKesson Ventures,GE Ventures
1293,Tencent Investment,BA Capital
1294,Tencent Investment,Sequoia Capital China
1295,Silversmith Capital Partners,Providence Equity Partners
1296,Silversmith Capital Partners,Spotify
1297,Silversmith Capital Partners,Bain Capital Ventures
1298,Silversmith Capital Partners,Tiger Global Management
1299,Silversmith Capital Partners,Accel
1300,Silversmith Capital Partners,Insight Partners
1301,s28 Capital,Innovation Endeavors
1302,BMW i Ventures,CreditEase Fintech Investment Fund
1303,BMW i Ventures,Marchmont Ventures
1304,BMW i Ventures,SoftBank Group
1305,N5 Capital,JD Digits
1306,CITIC Securities International,China Life Insurance
1307,CITIC Securities International,China Development Bank Capital
1308,Imaginary Ventures,Alliance Consumer Growth
1309,Imaginary Ventures,Thrive Capital
1310,GSR Ventures,Vision Plus Capital
1311,GSR Ventures,Sapphire Ventures
1312,GSR Ventures,ZhenFund
1313,China Media Group,Guangzhou Huiyin Aofeng Equity Investment Fund
1314,QC Capital,Unicom Innovation Venture Capital
1315,Microsoft ScaleUp,DST Global
1316,CreditEase Fintech Investment Fund,Morningside Ventures
1317,CreditEase Fintech Investment Fund,SoftBank Group
1318,Fidelity Investments,Vast Ventures
1319,Fidelity Investments,Eclipse Ventures
1320,Fidelity Investments,Moore Capital Management
1321,TAL Education Group,Alibaba Group
1322,Homebrew,Andreessen Horowitz
1323,Homebrew,Crosslink Capital
1324,Galaxy Interactive,Left Lane Capital
1325,Galaxy Interactive,VGames
1326,Galaxy Interactive,Lakestar
1327,Deciens Capital,Bezos Expeditions
1328,RiverPark Ventures,83North
1329,RiverPark Ventures,Upper90
1330,Golden Gate Ventures,SingTel Innov8
1331,Golden Gate Ventures,Alpha JWC Ventures
1332,Golden Gate Ventures,500 Global
1333,Golden Gate Ventures,Rakuten Ventures
1334,iNovia Capital,Mithril
1335,iNovia Capital,Foundry Group
1336,Relay Ventures,TTV Capital
1337,Relay Ventures,Canapi Ventures
1338,SciFi VC,Andreessen Horowitz
1339,SciFi VC,Caffeinated Capital
1340,Softbank,Sequoia Capital India
1341,Softbank,Thoma Bravo
1342,Softbank,Bertelsmann India Investments
1343,Softbank,Sequoia Capital
1344,Softbank,Chiratae Ventures
1345,Coatue Managemeny,Trinity Ventures
1346,Endeavor,DST Global
1347,Endeavor,QED Investors
1348,Insight Partners,Vintage Investment Partners
1349,Insight Partners,Goldman Sachs
1350,Insight Partners,Jerusalem Venture Partners
1351,Insight Partners,Genesis Partners
1352,Insight Partners,Andalusian Capital Partners
1353,Insight Partners,Ayala Corporation
1354,Insight Partners,Accel
1355,Insight Partners,AWZ Ventures
1356,Insight Partners,DCM Ventures
1357,Insight Partners,AltaIR Capital
1358,Insight Partners,CRV
1359,Insight Partners,Norma Investments
1360,Insight Partners,PayPal Ventures
1361,Insight Partners,Kibo Ventures
1362,Insight Partners,Polaris Partners
1363,Insight Partners,Goldcrest Capital
1364,Insight Partners,Gradient Ventures
1365,Insight Partners,Union Square Ventures
1366,Insight Partners,ClalTech
1367,Insight Partners,BEENEXT
1368,Insight Partners,Liberty Gloval Ventures
1369,Insight Partners,Sequoia Capital India
1370,Insight Partners,Spotify
1371,Insight Partners,Nexus Venture Partners
1372,Insight Partners,Connect Ventures
1373,Insight Partners,Bessemer Venture Partners
1374,Insight Partners,Coinbase Ventures
1375,Insight Partners,Norwest Venture Partners
1376,Insight Partners,Aleph
1377,Insight Partners,Tiger Global Management
1378,Insight Partners,Spark Capital
1379,Insight Partners,Perpetual Investors
1380,Insight Partners,Sequoia Capital
1381,Insight Partners,Battery Ventures
1382,Insight Partners,Venrock
1383,Insight Partners,DST Global
1384,Insight Partners,Softbank Group
1385,Insight Partners,Atomico
1386,Insight Partners,Israel Growth Partners
1387,Insight Partners,New Era Ventures
1388,Insight Partners,Bain Capital Ventures
1389,Insight Partners,CyberStarts
1390,Insight Partners,Ignition Partners
1391,Insight Partners,VebVentures
1392,Insight Partners,TPG Alternative & Renewable Technologies
1393,Insight Partners,Salesforce Ventures
1394,Insight Partners,General Atlantic
1395,RTP Global,Go-Ventures
1396,RTP Global,Sequoia Capital India
1397,Toscafund Asset Management,Coltrane Asset Management
1398,China Minsheng Investment Group,China Culture Industrial Investment Fund
1399,China Minsheng Investment Group,We Capital
1400,Pear,Cowboy Ventures
1401,Pear,New Enterprise Associates
1402,Essence Financial,Aviation Industry Corporation of China
1403,OrbiMed Advisors,Qiming Venture Partners
1404,OrbiMed Advisors,Highland Capital Management
1405,NetEase Capital,Microsoft
1406,NetEase Capital,Northern Light Venture Capital
1407,Alibaba Entrepreneurs Fund,Sequoia Capital China
1408,Guangdong Technology Financial Group,Oriza Holdings
1409,Banner Ventures,Madrona Venture Group
1410,Banner Ventures,FJ Labs
1411,Caterpillar,New Enterprise Associates
1412,BGF Ventures,MMC Ventures
1413,BGF Ventures,Unilever Ventures
1414,BPI France,Accel
1415,BPI France,Kerala Ventures
1416,Kaszek Ventures,Qualcomm Ventures
1417,Kaszek Ventures,International Finance Corporation
1418,Kaszek Ventures,QED Investors
1419,Kaszek Ventures,Tiger Global Management
1420,Kaszek Ventures,Amadeus Capital Partners
1421,Kaszek Ventures,Accel
1422,Kaszek Ventures,SOSV
1423,Kaszek Ventures,Quona Capital
1424,Kaszek Ventures,SoftBank Group
1425,Kaszek Ventures,General Atlantic
1426,Ford Autonomous Vehicles,Volkswagen Group
1427,Beijing Juneng Hesheng Industry Investment Fund,Beijing Shuju Xinrong Fund
1428,Bojiang Capital,Hongdao Capital
1429,Bojiang Capital,Mobai Capital
1430,BA Capital,Sequoia Capital China
1431,TopoScend Capital,BOC International
1432,Vitruvian Partners,Straumann
1433,Pritzker Group Venture Capital,Insights Venture Partners
1434,Pritzker Group Venture Capital,Goldman Sachs
1435,Pritzker Group Venture Capital,Accel
1436,Earlybird Venture Capital,Institutional Venture Partners
1437,Earlybird Venture Capital,Valar Ventures
1438,Earlybird Venture Capital,Redalpine Venture Partners
1439,Earlybird Venture Capital,Atomico
1440,Geekdom Fund,Greycroft
1441,Geekdom Fund,Lerer Hippeau
1442,Mizuho Financial Group,Toyota Motor Corporation
1443,Mizuho Financial Group,FANUC
1444,Opus Capital,Genesis Partners
1445,Opus Capital,Battery Ventures
1446,Eclipse Ventures,Moore Capital Management
1447,Eclipse Ventures,Munich Re Ventures
1448,Eclipse Ventures,Lerer Hippeau
1449,RRE Ventures+,The Carlyle Group
1450,Pelion Venture Partners,Commerce Ventures
1451,Pelion Venture Partners,Thoma Bravo
1452,SmartFin Capital,Newion Partners
1453,SmartFin Capital,OMERS Ventures
1454,China Creation Ventures,Xingwang Investment Management
1455,SBI Investment Korea,GIC
1456,Jinhui Xingye,China Reform Fund
1457,KCK Group,OLX Group
1458,Valor Capital Group,Lightrock
1459,Valor Capital Group,SoftBank Latin America Fund
1460,Valor Capital Group,Plug and Play Ventures
1461,Valor Capital Group,Softbank Group
1462,Valor Capital Group,Redpoint e.ventures
1463,Valor Capital Group,DST Global
1464,Dila Capital,Framework Ventures
1465,American Express Ventures,Goldman Sachs
1466,American Express Ventures,Pine Brook
1467,American Express Ventures,Bain Capital Credit
1468,American Express Ventures,Aleph
1469,American Express Ventures,Tiger Global Management
1470,American Express Ventures,B Capital Group
1471,American Express Ventures,BDC Venture Capital
1472,American Express Ventures,Accel
1473,American Express Ventures,Blumberg Capital
1474,D1 Capita Partners,Accel
1475,Ant Financial Services Group,Foxconn Technology Company
1476,Ant Financial Services Group,Russia-China Investment Fund
1477,Stellaris Venture Partners,Sequoia Capital India
1478,Stellaris Venture Partners,Fireside Ventures
1479,Ignition Partners,Andreessen Horowitz
1480,Ignition Partners,Triangle Peak Partners
1481,Ignition Partners,CRV
1482,Ignition Partners,Greycroft
1483,IndexVentures,Tiger Global Management
1484,IndexVentures,Blackbird Ventures
1485,Novator Partners,Causeway Media Partners
1486,Novator Partners,True
1487,Monk's Hill Ventures,B Capital Group
1488,Monk's Hill Ventures,Dynamic Parcel Distribution
1489,GMO VenturePartners,Sequoia Capital India
1490,Mobai Capital,Hongdao Capital
1491,New Leaf Venture Partners,Charter Venture Capital
1492,New Leaf Venture Partners,New Enterprise Associates
1493,Aleph,Innovation Endeavors
1494,Aleph,Temasek
1495,Aleph,Norwest Venture Partners
1496,Aleph,Genesis Partners
1497,Aleph,Hillsven Capital
1498,Aleph,Accel
1499,Aleph,Amiti Ventures
1500,Rakuten,Otter Rock Capital
1501,Rakuten,Seaya Ventures
1502,Geely,China State Capital Venture Capital Fund
1503,IQ Capital,British Patient Capital
1504,Oryzn Capital,ClalTech
1505,Prosus Ventures,Andreessen Horowitz
1506,Prosus Ventures,Venture Highway
1507,Prosus Ventures,Sequoia Capital India
1508,Prosus Ventures,Thrive Capital
1509,Prosus Ventures,Softbank Group
1510,Prosus Ventures,3G Capital Management
1511,Prosus Ventures,Kinnevik
1512,Tenaya Capital,Nexus Venture Partners
1513,Tenaya Capital,Stripes Group
1514,Tenaya Capital,Sequoia Capital
1515,TA Associates,SoftBank Group
1516,TA Associates,TPG Capital
1517,360 Capital Partners,Iris Capital
1518,360 Capital Partners,Breega Capital
1519,Fireside Ventures,Sequoia Capital India
1520,E Fund,Ideal International
1521,E Fund,Yinhong Equity Investment Fund
1522,Rocketship.vc,Lightspeed India Partners
1523,Rocketship.vc,Sequoia Capital India
1524,Group GSR Ventures,Lenovo Capital and Incubator
1525,Group GSR Ventures,Sequoia Capital China
1526,Nine Intelligence Capital,Qualcomm Ventures
1527,ICONIQ Growth,Bain Capital Ventures
1528,ICONIQ Growth,General Atlantic
1529,ICONIQ Growth,Summit Partners
1530,LGT Capital Partners,Cambridge Innovation Capital
1531,Activant Capital Group,Alaska Permanent Fund
1532,Rubicon Technology Partners,Inclusive Capital Partners
1533,Rubicon Technology Partners,Max Ventures
1534,Baidu Ventures,Qiming Venture Partners
1535,Frontier Ventures,AltaIR Capital
1536,Charoen Pokphand Group,Ant Group
1537,Charoen Pokphand Group,Bow Wave Capital
1538,Tiantu Capital,SAIF Partners China
1539,Kleiner Perkins Caulfield & Byers,Google Ventures
1540,Kleiner Perkins Caulfield & Byers,Blackrock
1541,DN Capital,Left Lane Capital
1542,Matrix Partners China,IDG Capital
1543,Matrix Partners China,Ventech China
1544,Matrix Partners China,Sequoia Capital China
1545,Matrix Partners China,58.com
1546,Matrix Partners China,Goldman Sachs
1547,Matrix Partners China,Bright Venture Capita
1548,Matrix Partners China,K2 Ventures
1549,Matrix Partners China,Hundreds Capital
1550,Matrix Partners China,Hongtai Capital Holdings
1551,Matrix Partners China,5Y Capital
1552,Matrix Partners China,Genesis Capital
1553,Matrix Partners China,JD Capital Management
1554,Matrix Partners China,Xingwang Investment Management
1555,Matrix Partners China,Prometheus Capital
1556,Matrix Partners China,Eastern Bell Capital
1557,QED Investors,Andreessen Horowitz
1558,QED Investors,Left Lane Capital
1559,QED Investors,International Finance Corporation
1560,QED Investors,Pantera Capital
1561,QED Investors,Silicon Valley Bank
1562,QED Investors,Coinbase Ventures
1563,QED Investors,Expa
1564,QED Investors,DST Global
1565,The Carlyle Group,JAFCO
1566,The Carlyle Group,Cool Japan Fund
1567,General Catalyst,Fontinalis Partners
1568,General Catalyst,Ascension Ventures
1569,General Catalyst,Accel
1570,General Catalyst,Blumberg Capital
1571,General Catalyst,Lux Capital
1572,General Catalyst,Felicis Ventures
1573,General Catalyst,Temasek
1574,General Catalyst,Victory Park Capital
1575,General Catalyst,Eleation Capital
1576,General Catalyst,Drive Capital
1577,General Catalyst,Target Global
1578,General Catalyst,Bling Capital
1579,General Catalyst,AU21
1580,General Catalyst,Avenir Growth Capital
1581,General Catalyst,Khosla Ventures
1582,General Catalyst,Durable Capital Partners
1583,General Catalyst,Andreessen Horowitz
1584,General Catalyst,Dell Technologies Capital
1585,General Catalyst,Origin Ventures
1586,General Catalyst,Nexus Venture Partners
1587,General Catalyst,Tiger Global Management
1588,General Catalyst,Navitas Capital
1589,General Catalyst,Sequoia Capital
1590,General Catalyst,M12
1591,General Catalyst,DST Global
1592,General Catalyst,Sequoia Capital China
1593,General Catalyst,Google Ventures
1594,General Catalyst,Thrive Capital
1595,General Catalyst,Viking Global Investors
1596,General Catalyst,Kraken Ventures
1597,General Catalyst,Jove Equity Partners
1598,General Catalyst,HCA Healthcare
1599,General Catalyst,Institutional Venture Partners
1600,Magma Venture Partners,Qumra Capital
1601,Avenir Growth Capital,Eleation Capital
1602,Inclusive Capital Partners,Max Ventures
1603,Baidu,IDG Capital
1604,Baidu,China Minsheng Investment
1605,Baidu,Vision Plus Capital
1606,Baidu,JD.com
1607,Baidu,SAIF Partners China
1608,Baidu,Wanxin Media
1609,Baidu,Huasheng Capital
1610,Mayfield,Madrona Venture Group
1611,Mayfield,Tiger Global Management
1612,Mayfield,Plum Alley
1613,Cadenza Ventures,BlockTower Capital
1614,Cadenza Ventures,Pantera Capital
1615,Norwest Venture Partners,Goldman Sachs
1616,Norwest Venture Partners,Wing Venture Capital
1617,Norwest Venture Partners,Aspect Ventures
1618,Norwest Venture Partners,Accel
1619,Norwest Venture Partners,SoftBank Group
1620,Norwest Venture Partners,Polaris Partners
1621,Norwest Venture Partners,Falcon Edge Capital
1622,Norwest Venture Partners,Next World Capital
1623,Norwest Venture Partners,Dell Technologies Capital
1624,Norwest Venture Partners,Hillsven Capital
1625,Norwest Venture Partners,SAIF Partners
1626,Norwest Venture Partners,Tiger Global Management
1627,Norwest Venture Partners,FirstMark Capital
1628,Norwest Venture Partners,Accel India
1629,Norwest Venture Partners,8VC
1630,Norwest Venture Partners,Berkshire Partners
1631,Version One Ventures,Bessemer Venture Partners
1632,Version One Ventures,FirstMark Capital
1633,Team8,Bessemer Venture Partners
1634,Warmsun Holding,IDG Capital Partners
1635,Tiger Global Management,Madrona Venture Group
1636,Tiger Global Management,Tao Capital Partners
1637,Tiger Global Management,Omidyar Network
1638,Tiger Global Management,B Capital Group
1639,Tiger Global Management,Ribbit Capital
1640,Tiger Global Management,Blackbird Ventures
