	source	target	weight
140	Health	E-commerce & direct-to-consumer	58
141	Health	Edtech	15
142	Health	Fintech	169
143	Health	Hardware	9
144	Health	Health	78
145	Health	Internet software & services	209
146	Health	Mobile & telecommunications	17
147	Health	Other	28
148	Health	Supply chain, logistics, & delivery	32
149	Health	Travel	6
150	Internet software & services	Artificial intelligence	195
151	Internet software & services	Auto & transportation	18
152	Internet software & services	Consumer & retail	32
153	Internet software & services	Cybersecurity	190
154	Internet software & services	Data management & analytics	173
155	Internet software & services	E-commerce & direct-to-consumer	264
156	Internet software & services	Edtech	71
157	Internet software & services	Fintech	585
158	Internet software & services	Hardware	35
159	Internet software & services	Health	185
160	Internet software & services	Internet software & services	792
161	Internet software & services	Mobile & telecommunications	50
162	Internet software & services	Other	82
163	Internet software & services	Supply chain, logistics, & delivery	94
164	Internet software & services	Travel	9
165	Mobile & telecommunications	Artificial intelligence	52
166	Mobile & telecommunications	Auto & transportation	13
167	Mobile & telecommunications	Consumer & retail	9
168	Mobile & telecommunications	Cybersecurity	29
169	Mobile & telecommunications	Data management & analytics	22
170	Mobile & telecommunications	E-commerce & direct-to-consumer	64
171	Mobile & telecommunications	Edtech	21
172	Mobile & telecommunications	Fintech	124
173	Mobile & telecommunications	Hardware	15
174	Mobile & telecommunications	Health	31
175	Mobile & telecommunications	Internet software & services	149
176	Mobile & telecommunications	Mobile & telecommunications	13
177	Mobile & telecommunications	Other	17
178	Mobile & telecommunications	Supply chain, logistics, & delivery	21
179	Mobile & telecommunications	Travel	4
180	Other	Artificial intelligence	48
181	Other	Auto & transportation	8
182	Other	Consumer & retail	10
183	Other	Cybersecurity	25
184	Other	Data management & analytics	37
185	Other	E-commerce & direct-to-consumer	63
186	Other	Edtech	11
187	Other	Fintech	118
188	Other	Hardware	13
189	Other	Health	25
190	Other	Internet software & services	126
191	Other	Mobile & telecommunications	9
192	Other	Other	24
193	Other	Supply chain, logistics, & delivery	24
194	Other	Travel	5
195	Supply chain, logistics, & delivery	Artificial intelligence	52
196	Supply chain, logistics, & delivery	Auto & transportation	7
197	Supply chain, logistics, & delivery	Consumer & retail	10
198	Supply chain, logistics, & delivery	Cybersecurity	37
199	Supply chain, logistics, & delivery	Data management & analytics	36
200	Supply chain, logistics, & delivery	E-commerce & direct-to-consumer	86
201	Supply chain, logistics, & delivery	Edtech	16
202	Supply chain, logistics, & delivery	Fintech	144
203	Supply chain, logistics, & delivery	Hardware	12
204	Supply chain, logistics, & delivery	Health	38
205	Supply chain, logistics, & delivery	Internet software & services	163
206	Supply chain, logistics, & delivery	Mobile & telecommunications	16
207	Supply chain, logistics, & delivery	Other	20
208	Supply chain, logistics, & delivery	Supply chain, logistics, & delivery	21
209	Supply chain, logistics, & delivery	Travel	5
210	Travel	Artificial intelligence	22
211	Travel	Auto & transportation	8
212	Travel	Consumer & retail	5
213	Travel	Cybersecurity	13
214	Travel	Data management & analytics	21
215	Travel	E-commerce & direct-to-consumer	35
216	Travel	Edtech	6
217	Travel	Fintech	43
218	Travel	Hardware	2
219	Travel	Health	9
220	Travel	Internet software & services	49
221	Travel	Mobile & telecommunications	5
222	Travel	Other	11
223	Travel	Supply chain, logistics, & delivery	9
224	Travel	Travel	1
