,source,target,weight
104,Edtech,"Supply chain, logistics, & delivery",9
105,Edtech,Travel,6
106,Education,Artificial intelligence,2
107,Education,Data management & analytics,1
108,Education,E-commerce & direct-to-consumer,2
109,Education,Edtech,1
110,Education,Fintech,1
111,Education,Health,2
112,Education,Internet software & services,1
113,Fintech,Artificial intelligence,39
114,Fintech,Auto & transportation,19
115,Fintech,Consumer & retail,11
116,Fintech,Cybersecurity,13
117,Fintech,Data management & analytics,8
118,Fintech,E-commerce & direct-to-consumer,63
119,Fintech,Edtech,16
120,Fintech,Education,5
121,Fintech,Fintech,68
122,Fintech,Hardware,19
123,Fintech,Health,12
124,Fintech,Internet software & services,73
125,Fintech,Mobile & telecommunications,20
126,Fintech,Other,23
127,Fintech,"Supply chain, logistics, & delivery",20
128,Fintech,Travel,8
129,Hardware,Artificial intelligence,18
130,Hardware,Auto & transportation,6
131,Hardware,Consumer & retail,2
132,Hardware,Cybersecurity,4
133,Hardware,Data management & analytics,7
134,Hardware,E-commerce & direct-to-consumer,26
135,Hardware,Edtech,12
136,Hardware,Fintech,17
137,Hardware,Hardware,8
138,Hardware,Internet software & services,17
139,Hardware,Mobile & telecommunications,11
140,Hardware,Other,9
141,Hardware,"Supply chain, logistics, & delivery",11
142,Hardware,Travel,4
143,Health,Artificial intelligence,17
144,Health,Auto & transportation,2
145,Health,Consumer & retail,7
146,Health,Cybersecurity,4
147,Health,Data management & analytics,7
148,Health,E-commerce & direct-to-consumer,24
149,Health,Edtech,5
150,Health,Education,3
151,Health,Fintech,23
152,Health,Hardware,7
153,Health,Health,15
154,Health,Internet software & services,33
155,Health,Mobile & telecommunications,6
156,Health,Other,14
157,Health,"Supply chain, logistics, & delivery",12
158,Health,Travel,6
159,Internet software & services,Artificial intelligence,39
160,Internet software & services,Auto & transportation,26
161,Internet software & services,Consumer & retail,8
162,Internet software & services,Cybersecurity,29
163,Internet software & services,Data management & analytics,44
164,Internet software & services,E-commerce & direct-to-consumer,57
165,Internet software & services,Edtech,17
166,Internet software & services,Education,3
167,Internet software & services,Fintech,64
168,Internet software & services,Hardware,15
169,Internet software & services,Health,18
170,Internet software & services,Internet software & services,85
171,Internet software & services,Mobile & telecommunications,16
172,Internet software & services,Other,30
173,Internet software & services,"Supply chain, logistics, & delivery",33
174,Internet software & services,Travel,12
175,Mobile & telecommunications,Artificial intelligence,21
176,Mobile & telecommunications,Auto & transportation,12
177,Mobile & telecommunications,Cybersecurity,7
178,Mobile & telecommunications,Data management & analytics,7
179,Mobile & telecommunications,E-commerce & direct-to-consumer,39
180,Mobile & telecommunications,Edtech,12
181,Mobile & telecommunications,Education,1
182,Mobile & telecommunications,Fintech,37
183,Mobile & telecommunications,Hardware,11
184,Mobile & telecommunications,Health,6
