,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
116,Podium,0.08108108108108109,0.004440790891170506,0.10795444911453049,0.37391569842823325,0.0022582681911502726,$3.00 ,2020/4/7,United States,Internet software & services,"['Accel', ' Summit Partners', ' Google Ventures']",3.0,2020-04-07
117,apna,0.025025025025025023,2.0245975838295086e-06,0.012406230335664604,0.3141241865890852,0.0009123516008967896,$1.10 ,2021/9/15,India,Internet software & services,"['Sequoia Capital India', ' Rocketship.vc', ' Lightspeed India Partners']",1.1,2021-09-15
118,Attentive,0.04504504504504504,0.003586685693154459,0.035230616507643864,0.35449578099225987,0.001349694250050114,$5.99 ,2020/9/23,United States,Mobile & telecommunications,"['NextView Ventures', ' Eniac Ventures', ' Sequoia Capital']",5.99,2020-09-23
119,ID.me,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.50 ,2021/3/19,United States,Cybersecurity,"['Moonshots Capital', ' BoxGroup', ' Blu Venture Investors']",1.5,2021-03-19
120,Innovaccer,0.035035035035035036,0.0026346413433073358,0.007467677955591693,0.3411327464694682,0.0013294732710812365,$3.20 ,2021/2/19,United States,Health,"['M12', ' WestBridge Capital', ' Lightspeed Venture Partners']",3.2,2021-02-19
121,Alation,0.01001001001001001,0.00044801001583798337,0.0012996823966214105,0.27601590624208855,0.0006926729133020584,$1.20 ,2021/6/3,United States,Internet software & services,"['Costanoa Ventures', ' Data Collective', ' Salesforce Ventures']",1.2,2021-06-03
122,BitFury,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2018/11/6,Netherlands,Hardware,"['Georgian Co-Investment Fund', ' iTech Capital', ' Galaxy Digital']",1.0,2018-11-06
123,Cedar,0.03003003003003003,0.0008319658978321977,0.00786271529667858,0.33062989097471857,0.0010508774402906943,$3.20 ,2021/3/9,United States,Fintech,"['Thrive Capital', ' Founders Fund', ' Cocnord Health Partners']",3.2,2021-03-09
124,Age of Learning,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$3.00 ,2016/5/3,United States,Edtech,['Iconiq Capital'],3.0,2016-05-03
125,Tier Mobility,0.007007007007007007,0.001797388570935665,0.001745539715417692,0.26704721963342654,0.0007577110429656917,$2.00 ,2021/10/25,Germany,Travel,"['Northzone Ventures', ' White Star Capital', ' Novator Partners']",2.0,2021-10-25
126,Placer.ai,0.001001001001001001,0.0,9.797798209378474e-07,0.19085649630673326,0.00028529413361189413,$1.00 ,2022/1/12,United States,Artificial intelligence,"['Fifth Wall Ventures', ' JBV Capital', ' Array Ventures']",1.0,2022-01-12
127,CRED,0.08408408408408408,0.0053018593527777895,0.06202645768937559,0.39097787107495846,0.0025030213704221203,$4.01 ,2021/4/6,India,Fintech,"['Tiger Global Management', ' DST Global', ' Sequoia Capital India']",4.01,2021-04-06
128,Wave,0.018018018018018018,0.00017525359488365188,0.003009589277781172,0.31205517799861077,0.0007127930454398164,$1.70 ,2021/9/7,Senegal,Fintech,"['Stripe', ' Founders Fund', ' Partech Partners']",1.7,2021-09-07
129,Bytedance,0.05405405405405406,0.005074464153215884,0.011216944803319718,0.34156675759729194,0.0017501832640873438,$140.00 ,2017/4/7,China,Artificial intelligence,"['Sequoia Capital China', ' SIG Asia Investments', ' Sina Weibo', ' Softbank Group']",140.0,2017-04-07
130,VIPKid,0.06406406406406406,0.0010056208793047057,0.012851049058955016,0.33391974063615854,0.002091529586322074,$4.50 ,2016/8/4,China,Edtech,"['Sequoia Capital China', ' Tencent Holdings', ' Sinovation Ventures']",4.5,2016-08-04
131,Venafi,0.009009009009009009,0.00011080027742277992,0.0021677730651492614,0.28909347251055795,0.0006008332115378502,$1.15 ,2020/12/10,United States,Cybersecurity,"['Pelion Venture Partners', ' Foundation Capital', ' Thoma Bravo']",1.15,2020-12-10
132,Nuro,0.04504504504504504,0.0022952848812194285,0.016274319037382464,0.3610104950311136,0.0013384441625645005,$8.60 ,2019/2/11,United States,Auto & transportation,"['SoftBank Group', ' Greylock Partners', ' Gaorong Capital']",8.6,2019-02-11
133,Alchemy,0.022022022022022022,0.0007567449636497445,0.008059187539892525,0.3504849497016599,0.0007907689656257515,$3.50 ,2021/10/28,United States,Fintech,"['DFJ Growth Fund', ' Coatue Management', ' Addition']",3.5,2021-10-28
134,Drata,0.014014014014014014,0.00015901002640105786,0.0015205780891300136,0.30485027040666707,0.00068304005212185,$1.00 ,2021/11/8,United States,Cybersecurity,"['Cowboy Ventures', ' Leaders Fund', ' GGV Capital']",1.0,2021-11-08
135,Afiniti,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.60 ,2017/4/14,Bermuda,Artificial intelligence,['GAM Holding'],1.6,2017-04-14
136,candy.com,0.04904904904904905,0.0036041754083089616,0.03351591791351867,0.3651017291089821,0.0015209266040847028,$1.50 ,2021/10/21,United States,Fintech,"['Insight Partners', ' Softbank Group', ' Connect Ventures']",1.5,2021-10-21
137,solarisBank,0.001001001001001001,0.0,2.0807161411730035e-53,0.001001001001001001,0.0010828370330265263,$1.65 ,2021/7/13,Germany,Fintech,"['Yabeo Capital', ' SBI Investment', ' Vulcan Capital']",1.65,2021-07-13
138,Bitso,0.012012012012012012,0.0005714743499500737,0.0019315795472163873,0.29885507028364167,0.0006933987260069982,$2.20 ,2021/5/5,Mexico,Fintech,"['Pantera Capital', ' QED Investors', ' Coinbase Ventures']",2.2,2021-05-05
139,MOLOCO,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.50 ,2021/4/29,United States,Artificial intelligence,"['Smilegate Investment', ' DSC Investments', ' KTB Ventures']",1.5,2021-04-29
140,Varo Bank,0.011011011011011011,1.4463074695473986e-07,0.0015145614265908987,0.2929845086993141,0.0006103814143247369,$2.50 ,2021/9/9,United States,Fintech,"['Warburg Pincus', ' The Rise Fund', ' HarbourVest Partners']",2.5,2021-09-09
141,Ibotta,0.014014014014014014,0.001797388570935665,0.001416814097222622,0.30154040225174633,0.000823411306205016,$1.00 ,2019/8/6,United States,Fintech,"['Koch Disruptive Technologies', ' Teamworthy Ventures', ' GGV Capital']",1.0,2019-08-06
142,BeiBei,0.003003003003003003,0.001798057242279019,0.00014916503750239164,0.23878280889843298,0.0005188656798876747,$1.00 ,2015/1/22,China,E-commerce & direct-to-consumer,"['Banyan Capital', ' New Horizon Capital', ' IDG Capital Partners']",1.0,2015-01-22
143,Fanatics,0.07207207207207207,0.0039011362700796916,0.03314263257066334,0.37530960597130214,0.002038250191220245,$18.00 ,2012/6/6,United States,E-commerce & direct-to-consumer,"['SoftBank Group', ' Andreessen Horowitz', ' Temasek Holdings']",18.0,2012-06-06
